Normalized_intensity_increment,SE
-4.56E-02,6.42E-03
-5.37E-03,5.69E-03
-6.31E-02,6.38E-03
-8.88E-02,6.29E-03
-5.22E-02,6.60E-03
-5.15E-02,6.68E-03
-2.04E-02,5.02E-03
-1.49E-02,6.09E-03
-1.20E-02,5.03E-03
-7.12E-03,4.37E-03
1.91E-02,3.69E-03
-6.02E-03,6.45E-03
-7.08E-03,6.26E-03
5.40E-03,8.30E-03
3.72E-02,8.66E-03
1.45E-02,8.63E-03
3.43E-02,8.85E-03
7.06E-02,7.03E-03
9.35E-02,8.21E-03
1.29E-01,1.05E-02
1.46E-01,6.49E-03
2.22E-01,9.73E-03
2.80E-01,1.03E-02
3.24E-01,1.10E-02
3.50E-01,9.87E-03
4.48E-01,1.02E-02
4.82E-01,1.46E-02
4.82E-01,1.40E-02
5.66E-01,1.66E-02
6.65E-01,1.45E-02
6.54E-01,1.43E-02
7.70E-01,1.66E-02
7.67E-01,1.53E-02
8.23E-01,1.65E-02
8.40E-01,1.67E-02
9.79E-01,1.88E-02
1.01E+00,2.12E-02
1.08E+00,1.97E-02
1.11E+00,2.30E-02
1.12E+00,2.17E-02
1.28E+00,2.56E-02
1.28E+00,2.71E-02
1.41E+00,2.83E-02
1.43E+00,2.79E-02
1.40E+00,2.73E-02
1.50E+00,2.81E-02
1.55E+00,2.85E-02
1.60E+00,3.43E-02
1.68E+00,3.39E-02
1.75E+00,3.69E-02
1.73E+00,3.28E-02
1.92E+00,3.41E-02
1.98E+00,3.80E-02
2.00E+00,3.50E-02
2.05E+00,3.62E-02
2.15E+00,3.82E-02
2.22E+00,3.88E-02
2.23E+00,3.97E-02
2.28E+00,4.26E-02
2.32E+00,3.98E-02
2.37E+00,4.36E-02
2.45E+00,4.58E-02
2.53E+00,4.62E-02
2.60E+00,4.30E-02
2.67E+00,4.60E-02
2.75E+00,4.89E-02
2.74E+00,4.79E-02
2.80E+00,5.02E-02
2.88E+00,4.90E-02
2.95E+00,4.47E-02
3.02E+00,5.11E-02
3.06E+00,5.50E-02
3.04E+00,5.05E-02
3.23E+00,5.69E-02
3.23E+00,5.15E-02
3.15E+00,5.50E-02
3.33E+00,5.46E-02
3.44E+00,5.59E-02
3.49E+00,5.19E-02
3.51E+00,6.24E-02
3.63E+00,5.86E-02
3.71E+00,5.94E-02
3.73E+00,6.34E-02
3.78E+00,5.91E-02
3.82E+00,6.59E-02
3.94E+00,6.43E-02
3.97E+00,6.19E-02
3.98E+00,7.31E-02
4.07E+00,7.18E-02
4.13E+00,6.79E-02
4.19E+00,7.41E-02
4.22E+00,7.32E-02
4.28E+00,7.13E-02
4.22E+00,7.25E-02
4.49E+00,8.45E-02
4.48E+00,8.07E-02
4.49E+00,7.36E-02
4.56E+00,6.86E-02
4.72E+00,7.31E-02
