Normalized_intensity_increment,SE
-1.04E-01,6.02E-03
-1.08E-01,6.48E-03
-7.04E-02,7.37E-03
-8.05E-02,5.90E-03
-8.73E-02,6.87E-03
-8.27E-02,6.66E-03
-8.64E-02,6.56E-03
-6.20E-02,6.13E-03
-6.76E-02,6.63E-03
-4.98E-02,7.12E-03
-7.47E-02,5.78E-03
-6.28E-02,6.70E-03
-4.98E-02,5.76E-03
-5.57E-02,5.99E-03
-8.30E-02,6.81E-03
-8.24E-02,6.32E-03
-6.08E-02,5.60E-03
-3.35E-02,6.56E-03
-4.03E-02,6.60E-03
-3.30E-02,6.02E-03
-2.23E-02,6.63E-03
-5.52E-02,7.10E-03
-5.45E-02,5.71E-03
-2.74E-02,6.25E-03
-3.36E-02,6.52E-03
-3.91E-02,6.58E-03
-3.64E-02,6.91E-03
7.71E-03,6.54E-03
-3.58E-02,7.01E-03
-1.12E-02,6.17E-03
-3.28E-02,6.49E-03
-3.82E-02,6.67E-03
-5.82E-02,5.59E-03
-4.69E-02,7.37E-03
-3.58E-02,7.08E-03
2.70E-03,7.00E-03
1.95E-02,5.15E-03
-1.04E-02,4.37E-03
-9.12E-03,4.54E-03
2.39E-02,6.10E-03
2.09E-02,6.64E-03
4.67E-03,6.51E-03
2.65E-03,5.40E-03
2.17E-02,5.80E-03
3.15E-02,6.65E-03
3.43E-02,6.72E-03
3.97E-02,5.85E-03
4.08E-02,6.41E-03
6.31E-02,7.53E-03
5.32E-02,7.15E-03
4.76E-02,6.32E-03
4.67E-02,7.71E-03
3.13E-02,6.95E-03
5.26E-02,7.27E-03
3.29E-02,7.22E-03
4.74E-02,8.64E-03
5.58E-02,6.75E-03
6.47E-02,6.56E-03
5.96E-02,7.63E-03
6.57E-02,5.79E-03
6.31E-02,7.47E-03
6.50E-02,7.96E-03
6.91E-02,6.79E-03
8.81E-02,7.39E-03
6.35E-02,7.62E-03
9.16E-02,7.30E-03
9.60E-02,7.32E-03
8.12E-02,7.50E-03
1.04E-01,6.48E-03
9.19E-02,6.60E-03
9.19E-02,6.61E-03
7.05E-02,8.05E-03
1.10E-01,6.97E-03
9.37E-02,6.37E-03
9.89E-02,7.39E-03
6.51E-02,6.90E-03
1.14E-01,7.42E-03
8.67E-02,7.72E-03
9.05E-02,8.78E-03
1.29E-01,7.94E-03
1.21E-01,9.07E-03
1.08E-01,7.79E-03
1.02E-01,8.49E-03
1.03E-01,8.41E-03
1.16E-01,7.86E-03
1.04E-01,8.82E-03
1.18E-01,8.55E-03
1.14E-01,8.03E-03
1.32E-01,8.48E-03
1.27E-01,1.02E-02
1.41E-01,9.79E-03
1.17E-01,9.36E-03
1.33E-01,8.79E-03
1.45E-01,9.85E-03
1.47E-01,8.47E-03
1.55E-01,9.68E-03
1.43E-01,9.25E-03
1.65E-01,9.05E-03
1.78E-01,7.96E-03
1.62E-01,9.24E-03
1.79E-01,9.27E-03
1.62E-01,8.65E-03
1.87E-01,1.10E-02
1.69E-01,8.74E-03
1.88E-01,9.58E-03
1.91E-01,9.55E-03
1.84E-01,8.99E-03
1.83E-01,1.03E-02
1.78E-01,9.16E-03
2.01E-01,9.31E-03
2.02E-01,1.03E-02
1.99E-01,9.73E-03
1.87E-01,9.62E-03
2.20E-01,9.58E-03
2.11E-01,9.64E-03
2.04E-01,8.57E-03
1.89E-01,1.00E-02
2.21E-01,9.11E-03
2.42E-01,1.02E-02
2.35E-01,1.02E-02
2.39E-01,9.12E-03
2.15E-01,1.04E-02
2.53E-01,1.06E-02
2.30E-01,9.71E-03
2.25E-01,9.87E-03
2.02E-01,9.88E-03
2.39E-01,9.22E-03
1.85E-01,9.32E-03
2.53E-01,9.94E-03
2.45E-01,9.82E-03
2.37E-01,8.34E-03
2.70E-01,9.67E-03
2.52E-01,8.73E-03
2.88E-01,9.92E-03
2.61E-01,1.03E-02
2.65E-01,1.06E-02
3.00E-01,1.03E-02
2.72E-01,1.03E-02
2.72E-01,1.04E-02
2.94E-01,9.29E-03
2.65E-01,8.79E-03
2.78E-01,9.61E-03
2.72E-01,9.51E-03
2.70E-01,8.68E-03
3.00E-01,1.08E-02
2.53E-01,1.15E-02
3.11E-01,1.05E-02
2.94E-01,2.01E-02
2.99E-01,1.21E-02
2.68E-01,1.03E-02
2.85E-01,1.05E-02
3.34E-01,1.04E-02
3.15E-01,1.22E-02
3.21E-01,1.00E-02
3.36E-01,1.12E-02
3.26E-01,1.01E-02
3.41E-01,9.71E-03
3.27E-01,9.44E-03
3.23E-01,1.16E-02
3.40E-01,1.12E-02
3.34E-01,1.20E-02
3.21E-01,1.08E-02
3.64E-01,1.04E-02
-1.57E-01,2.57E-02
