condition,fold,length,id,N_20nt,N_30nt,Time
wt_15mM_salt,0,30,39,0,0,1800.0
wt_15mM_salt,0,30,39,0,0,3600.0
wt_15mM_salt,0,30,39,0,0,5400.0
wt_15mM_salt,0,30,39,0,0,7200.0
wt_15mM_salt,0,30,40,0,0,1800.0
wt_15mM_salt,0,30,40,0,0,3600.0
wt_15mM_salt,0,30,40,0,0,5400.0
wt_15mM_salt,0,30,40,1,0,7200.0
wt_15mM_salt,0,30,41,0,0,1800.0
wt_15mM_salt,0,30,41,0,0,3600.0
wt_15mM_salt,0,30,41,0,0,5400.0
wt_15mM_salt,0,30,41,0,0,7200.0
wt_15mM_salt,0,30,42,0,0,1800.0
wt_15mM_salt,0,30,42,0,0,3600.0
wt_15mM_salt,0,30,42,1,0,5400.0
wt_15mM_salt,0,30,42,1,0,7200.0
wt_15mM_salt,0,30,43,0,0,1800.0
wt_15mM_salt,0,30,43,0,0,3600.0
wt_15mM_salt,0,30,43,0,0,5400.0
wt_15mM_salt,0,30,43,1,0,7200.0
wt_15mM_salt,0,30,44,0,0,1800.0
wt_15mM_salt,0,30,44,0,0,3600.0
wt_15mM_salt,0,30,44,0,0,5400.0
wt_15mM_salt,0,30,44,0,0,7200.0
wt_15mM_salt,0,30,45,0,0,1800.0
wt_15mM_salt,0,30,45,0,0,3600.0
wt_15mM_salt,0,30,45,0,0,5400.0
wt_15mM_salt,0,30,45,1,0,7200.0
wt_15mM_salt,0,30,46,0,0,1800.0
wt_15mM_salt,0,30,46,0,0,3600.0
wt_15mM_salt,0,30,46,1,0,5400.0
wt_15mM_salt,0,30,46,1,0,7200.0
wt_15mM_salt,0,30,47,0,0,1800.0
wt_15mM_salt,0,30,47,0,0,3600.0
wt_15mM_salt,0,30,47,1,0,5400.0
wt_15mM_salt,0,30,47,1,0,7200.0
wt_15mM_salt,0,30,48,0,0,1800.0
wt_15mM_salt,0,30,48,1,0,3600.0
wt_15mM_salt,0,30,48,1,0,5400.0
wt_15mM_salt,0,30,48,1,0,7200.0
wt_15mM_salt,0,30,49,0,0,1800.0
wt_15mM_salt,0,30,49,0,0,3600.0
wt_15mM_salt,0,30,49,0,0,5400.0
wt_15mM_salt,0,30,49,0,0,7200.0
wt_15mM_salt,0,30,50,0,0,1800.0
wt_15mM_salt,0,30,50,0,0,3600.0
wt_15mM_salt,0,30,50,1,0,5400.0
wt_15mM_salt,0,30,50,1,0,7200.0
wt_15mM_salt,0,30,51,0,0,1800.0
wt_15mM_salt,0,30,51,0,0,3600.0
wt_15mM_salt,0,30,51,0,0,5400.0
wt_15mM_salt,0,30,51,0,0,7200.0
wt_15mM_salt,0,30,52,0,0,1800.0
wt_15mM_salt,0,30,52,0,0,3600.0
wt_15mM_salt,0,30,52,0,0,5400.0
wt_15mM_salt,0,30,52,0,0,7200.0
wt_15mM_salt,0,30,53,0,0,1800.0
wt_15mM_salt,0,30,53,0,0,3600.0
wt_15mM_salt,0,30,53,0,0,5400.0
wt_15mM_salt,0,30,53,0,0,7200.0
wt_15mM_salt,0,30,54,0,0,1800.0
wt_15mM_salt,0,30,54,1,0,3600.0
wt_15mM_salt,0,30,54,1,0,5400.0
wt_15mM_salt,0,30,54,1,0,7200.0
wt_15mM_salt,0,30,55,0,0,1800.0
wt_15mM_salt,0,30,55,0,0,3600.0
wt_15mM_salt,0,30,55,0,0,5400.0
wt_15mM_salt,0,30,55,0,0,7200.0
wt_15mM_salt,0,30,56,0,0,1800.0
wt_15mM_salt,0,30,56,0,0,3600.0
wt_15mM_salt,0,30,56,0,0,5400.0
wt_15mM_salt,0,30,56,0,0,7200.0
wt_15mM_salt,0,30,57,0,0,1800.0
wt_15mM_salt,0,30,57,0,0,3600.0
wt_15mM_salt,0,30,57,0,0,5400.0
wt_15mM_salt,0,30,57,0,0,7200.0
wt_15mM_salt,0,30,58,0,0,1800.0
wt_15mM_salt,0,30,58,0,0,3600.0
wt_15mM_salt,0,30,58,0,0,5400.0
wt_15mM_salt,0,30,58,0,0,7200.0
wt_15mM_salt,0,30,59,1,0,1800.0
wt_15mM_salt,0,30,59,1,0,3600.0
wt_15mM_salt,0,30,59,1,0,5400.0
wt_15mM_salt,0,30,59,1,0,7200.0
wt_15mM_salt,0,30,60,0,0,1800.0
wt_15mM_salt,0,30,60,0,0,3600.0
wt_15mM_salt,0,30,60,0,0,5400.0
wt_15mM_salt,0,30,60,0,0,7200.0
wt_15mM_salt,0,30,61,0,0,1800.0
wt_15mM_salt,0,30,61,0,0,3600.0
wt_15mM_salt,0,30,61,0,0,5400.0
wt_15mM_salt,0,30,61,0,0,7200.0
wt_15mM_salt,0,30,62,1,0,1800.0
wt_15mM_salt,0,30,62,1,0,3600.0
wt_15mM_salt,0,30,62,1,0,5400.0
wt_15mM_salt,0,30,62,1,0,7200.0
wt_15mM_salt,0,30,63,0,0,1800.0
wt_15mM_salt,0,30,63,0,0,3600.0
wt_15mM_salt,0,30,63,0,0,5400.0
wt_15mM_salt,0,30,63,0,0,7200.0
wt_15mM_salt,0,30,64,0,0,1800.0
wt_15mM_salt,0,30,64,0,0,3600.0
wt_15mM_salt,0,30,64,0,0,5400.0
wt_15mM_salt,0,30,64,0,0,7200.0
wt_15mM_salt,0,30,65,0,0,1800.0
wt_15mM_salt,0,30,65,0,0,3600.0
wt_15mM_salt,0,30,65,0,0,5400.0
wt_15mM_salt,0,30,65,0,0,7200.0
wt_15mM_salt,0,30,66,0,0,1800.0
wt_15mM_salt,0,30,66,0,0,3600.0
wt_15mM_salt,0,30,66,0,0,5400.0
wt_15mM_salt,0,30,66,0,0,7200.0
wt_15mM_salt,0,30,67,0,0,1800.0
wt_15mM_salt,0,30,67,0,0,3600.0
wt_15mM_salt,0,30,67,0,0,5400.0
wt_15mM_salt,0,30,67,1,0,7200.0
wt_15mM_salt,0,30,68,0,0,1800.0
wt_15mM_salt,0,30,68,0,0,3600.0
wt_15mM_salt,0,30,68,0,0,5400.0
wt_15mM_salt,0,30,68,0,0,7200.0
wt_15mM_salt,0,30,69,0,0,1800.0
wt_15mM_salt,0,30,69,0,0,3600.0
wt_15mM_salt,0,30,69,0,0,5400.0
wt_15mM_salt,0,30,69,0,0,7200.0
wt_15mM_salt,0,30,70,0,0,1800.0
wt_15mM_salt,0,30,70,0,0,3600.0
wt_15mM_salt,0,30,70,0,0,5400.0
wt_15mM_salt,0,30,70,0,0,7200.0
wt_15mM_salt,0,30,71,0,0,1800.0
wt_15mM_salt,0,30,71,0,0,3600.0
wt_15mM_salt,0,30,71,1,0,5400.0
wt_15mM_salt,0,30,71,1,0,7200.0
wt_15mM_salt,0,30,72,0,0,1800.0
wt_15mM_salt,0,30,72,0,0,3600.0
wt_15mM_salt,0,30,72,0,0,5400.0
wt_15mM_salt,0,30,72,1,0,7200.0
wt_15mM_salt,0,30,73,0,0,1800.0
wt_15mM_salt,0,30,73,0,0,3600.0
wt_15mM_salt,0,30,73,1,0,5400.0
wt_15mM_salt,0,30,73,1,0,7200.0
wt_15mM_salt,0,30,74,0,0,1800.0
wt_15mM_salt,0,30,74,0,0,3600.0
wt_15mM_salt,0,30,74,0,0,5400.0
wt_15mM_salt,0,30,74,0,0,7200.0
wt_15mM_salt,0,30,75,0,0,1800.0
wt_15mM_salt,0,30,75,0,0,3600.0
wt_15mM_salt,0,30,75,1,0,5400.0
wt_15mM_salt,0,30,75,1,0,7200.0
wt_15mM_salt,0,30,76,0,0,1800.0
wt_15mM_salt,0,30,76,0,0,3600.0
wt_15mM_salt,0,30,76,0,0,5400.0
wt_15mM_salt,0,30,76,1,0,7200.0
wt_15mM_salt,0,30,77,0,0,1800.0
wt_15mM_salt,0,30,77,0,0,3600.0
wt_15mM_salt,0,30,77,0,0,5400.0
wt_15mM_salt,0,30,77,0,0,7200.0
wt_15mM_salt,0,30,78,0,0,1800.0
wt_15mM_salt,0,30,78,0,0,3600.0
wt_15mM_salt,0,30,78,0,0,5400.0
wt_15mM_salt,0,30,78,0,0,7200.0
wt_15mM_salt,0,30,79,1,0,1800.0
wt_15mM_salt,0,30,79,1,0,3600.0
wt_15mM_salt,0,30,79,1,0,5400.0
wt_15mM_salt,0,30,79,1,0,7200.0
wt_15mM_salt,0,30,80,0,0,1800.0
wt_15mM_salt,0,30,80,0,0,3600.0
wt_15mM_salt,0,30,80,0,0,5400.0
wt_15mM_salt,0,30,80,1,0,7200.0
wt_15mM_salt,0,30,81,1,0,1800.0
wt_15mM_salt,0,30,81,1,0,3600.0
wt_15mM_salt,0,30,81,1,0,5400.0
wt_15mM_salt,0,30,81,1,0,7200.0
wt_15mM_salt,0,30,82,0,0,1800.0
wt_15mM_salt,0,30,82,0,0,3600.0
wt_15mM_salt,0,30,82,0,0,5400.0
wt_15mM_salt,0,30,82,0,0,7200.0
wt_15mM_salt,0,30,83,0,0,1800.0
wt_15mM_salt,0,30,83,0,0,3600.0
wt_15mM_salt,0,30,83,0,0,5400.0
wt_15mM_salt,0,30,83,0,0,7200.0
wt_15mM_salt,0,30,84,0,0,1800.0
wt_15mM_salt,0,30,84,0,0,3600.0
wt_15mM_salt,0,30,84,0,0,5400.0
wt_15mM_salt,0,30,84,1,0,7200.0
wt_15mM_salt,0,30,85,1,0,1800.0
wt_15mM_salt,0,30,85,1,0,3600.0
wt_15mM_salt,0,30,85,1,0,5400.0
wt_15mM_salt,0,30,85,1,0,7200.0
wt_15mM_salt,0,30,86,0,0,1800.0
wt_15mM_salt,0,30,86,0,0,3600.0
wt_15mM_salt,0,30,86,0,0,5400.0
wt_15mM_salt,0,30,86,0,0,7200.0
wt_15mM_salt,0,30,87,1,0,1800.0
wt_15mM_salt,0,30,87,1,0,3600.0
wt_15mM_salt,0,30,87,1,0,5400.0
wt_15mM_salt,0,30,87,1,0,7200.0
wt_15mM_salt,0,30,88,0,0,1800.0
wt_15mM_salt,0,30,88,1,0,3600.0
wt_15mM_salt,0,30,88,1,0,5400.0
wt_15mM_salt,0,30,88,1,0,7200.0
wt_15mM_salt,0,30,89,0,0,1800.0
wt_15mM_salt,0,30,89,0,0,3600.0
wt_15mM_salt,0,30,89,0,0,5400.0
wt_15mM_salt,0,30,89,0,0,7200.0
wt_15mM_salt,0,30,90,0,0,1800.0
wt_15mM_salt,0,30,90,0,0,3600.0
wt_15mM_salt,0,30,90,0,0,5400.0
wt_15mM_salt,0,30,90,0,0,7200.0
wt_15mM_salt,0,30,91,0,0,1800.0
wt_15mM_salt,0,30,91,0,0,3600.0
wt_15mM_salt,0,30,91,0,0,5400.0
wt_15mM_salt,0,30,91,0,0,7200.0
wt_15mM_salt,0,30,92,0,0,1800.0
wt_15mM_salt,0,30,92,0,0,3600.0
wt_15mM_salt,0,30,92,1,0,5400.0
wt_15mM_salt,0,30,92,1,0,7200.0
wt_15mM_salt,0,30,93,0,0,1800.0
wt_15mM_salt,0,30,93,0,1,3600.0
wt_15mM_salt,0,30,93,0,1,5400.0
wt_15mM_salt,0,30,93,0,1,7200.0
wt_15mM_salt,0,30,94,0,0,1800.0
