time,fold,D1,size,id
2401,4,1000.0,6,12
2401,4,1000.0,3,12
2401,4,1000.0,7,12
2401,4,1000.0,9,12
2401,4,1000.0,3,12
1801,4,1000.0,49,13
1801,4,1000.0,42,13
1801,4,1000.0,4,13
1801,4,1000.0,62,13
1801,4,1000.0,8,13
1801,4,1000.0,147,13
1801,4,1000.0,18,13
1861,4,1000.0,8,13
1861,4,1000.0,41,13
1861,4,1000.0,101,13
1861,4,1000.0,84,13
1861,4,1000.0,33,13
1861,4,1000.0,20,13
1861,4,1000.0,43,13
1921,4,1000.0,52,13
1921,4,1000.0,27,13
1921,4,1000.0,93,13
1921,4,1000.0,28,13
1921,4,1000.0,111,13
1921,4,1000.0,2,13
1921,4,1000.0,17,13
2401,4,1000.0,13,13
2401,4,1000.0,2,13
2401,4,1000.0,9,13
2401,4,1000.0,5,13
2401,4,1000.0,3,13
2401,4,1000.0,30,13
2401,4,1000.0,1,13
2401,4,1000.0,1,13
2401,4,1000.0,15,13
2401,4,1000.0,3,13
2401,4,1000.0,51,13
2401,4,1000.0,37,13
1801,4,1000.0,8,14
1801,4,1000.0,291,14
1801,4,1000.0,13,14
1801,4,1000.0,3,14
1801,4,1000.0,22,14
1801,4,1000.0,13,14
1861,4,1000.0,93,14
1861,4,1000.0,59,14
1861,4,1000.0,54,14
1861,4,1000.0,5,14
1861,4,1000.0,60,14
1861,4,1000.0,79,14
1921,4,1000.0,29,14
1921,4,1000.0,11,14
1921,4,1000.0,61,14
1921,4,1000.0,4,14
1921,4,1000.0,36,14
1921,4,1000.0,23,14
1921,4,1000.0,2,14
1921,4,1000.0,39,14
1921,4,1000.0,55,14
2401,4,1000.0,13,14
2401,4,1000.0,27,14
2401,4,1000.0,2,14
2401,4,1000.0,16,14
2401,4,1000.0,53,14
2401,4,1000.0,13,14
2401,4,1000.0,49,14
2401,4,1000.0,1,14
2401,4,1000.0,2,14
2401,4,1000.0,6,14
2401,4,1000.0,8,14
1801,4,1000.0,27,15
1801,4,1000.0,31,15
1801,4,1000.0,48,15
1801,4,1000.0,76,15
1801,4,1000.0,7,15
1801,4,1000.0,37,15
1801,4,1000.0,23,15
1801,4,1000.0,11,15
1861,4,1000.0,1,15
1861,4,1000.0,138,15
1861,4,1000.0,44,15
1861,4,1000.0,1,15
1861,4,1000.0,14,15
1861,4,1000.0,6,15
1861,4,1000.0,26,15
1861,4,1000.0,43,15
1861,4,1000.0,7,15
1921,4,1000.0,7,15
1921,4,1000.0,84,15
1921,4,1000.0,1,15
1921,4,1000.0,83,15
1921,4,1000.0,21,15
1921,4,1000.0,33,15
1921,4,1000.0,14,15
1921,4,1000.0,27,15
2401,4,1000.0,18,15
2401,4,1000.0,26,15
2401,4,1000.0,26,15
2401,4,1000.0,25,15
2401,4,1000.0,23,15
2401,4,1000.0,12,15
2401,4,1000.0,21,15
2401,4,1000.0,28,15
2401,4,1000.0,24,15
2401,4,1000.0,6,15
2401,4,1000.0,1,15
1801,10,1000.0,72,16
1801,10,1000.0,73,16
