fraction_exposure,fold,id
0.0786,200,708
0.0976,200,709
0.0588,200,710
0.058,200,711
0.091,200,712
0.0574,200,713
0.0854,200,714
0.0594,200,715
0.1008,200,716
0.0806,200,717
0.0592,200,718
0.074,200,719
0.064,200,720
0.0586,200,721
0.095,200,722
0.0824,200,723
0.0738,200,724
0.0514,200,725
0.051,200,726
0.0524,200,727
0.046,200,728
0.0642,200,729
0.0994,200,730
0.0316,200,731
0.0658,200,732
0.0952,200,733
0.066,200,734
0.0754,200,735
0.0744,200,736
0.064,200,737
0.094,200,738
0.044,200,739
0.0706,200,740
0.0998,200,741
0.0634,200,742
0.0598,200,743
0.0788,200,744
0.075,200,745
0.085,200,746
0.0562,200,747
0.0648,200,748
0.0776,200,749
0.0616,200,750
0.086,200,751
0.0504,200,752
0.0344,200,753
0.0774,200,754
0.0636,200,755
0.0898,200,756
0.1018,200,757
0.0656,200,758
0.101,200,759
0.0918,200,760
0.0902,200,761
0.0558,200,762
0.0924,200,763
0.0468,200,764
0.0596,200,765
0.0794,200,766
0.0404,200,767
0.0708,200,768
0.1224,200,769
0.0522,200,770
0.0494,200,771
0.0706,200,772
0.0764,200,773
0.0444,200,774
0.0694,200,775
0.0816,200,776
0.0862,200,777
0.0388,200,778
0.106,200,779
0.0528,200,780
0.0748,200,781
0.094,200,782
0.0774,200,783
0.0946,200,784
0.081,200,785
0.0634,200,786
0.0608,200,787
0.0724,200,788
0.0702,200,789
0.0788,200,790
0.0646,200,791
0.0664,200,792
0.0778,200,793
0.0674,200,794
0.11,200,795
0.0946,200,796
0.0658,200,797
0.0884,200,798
0.079,200,799
0.0924,200,800
