fraction_exposure,fold,id
0.5868,50,588
0.595,50,589
0.541,50,590
0.543,50,591
0.5912,50,592
0.6194,50,593
0.5852,50,594
0.6226,50,595
0.5496,50,596
0.5416,50,597
0.508,50,598
0.6216,50,599
0.6028,50,600
